序号	年级	章节	涉及模块	题目	答案	答题过程
811	五年级	第二十三讲	数的整除	0~6这7个数字能组成许多个没有重复数字的7位数，其中有些是55的倍数，最大的一个是	6431205	这个七位数是55的倍数，所以是5和11的倍数.是5的倍数，个位只能是0或5; 是11的倍数，奇数位数字和与偶数位数字和之差应为11的倍数(包括0),由于各位数字和为 21,是奇数，所以差只能为11. (21-11)÷2=5,要想最大，首位应为6,所以奇数位数字和为 21-5=16,偶数位数字和为5.第二位最大只能为4,5=4+1+0,0在偶数位，因此个位为5,所 以这个数为6431205.
136	六年级	第二十讲	不定方程 	数学竞赛团体奖的奖品是10000本数学课外读物.奖品发给前五名代表队所在的学校. 名次在前的代表队获奖的本数多，且每一名次奖品的本数都是100的整倍数，如果第一名所得 的本数是第二名与第三名所得的本数之和，第二名所得的本数是第四名与第五名所得本数之 和.那么,第三名最多可以获得几本.	1700	设前五名获奖品数分别为a>b>c>d>e,那么依题意a+b+c+d+e=10000,a=b+c,b=d+e. 于是(b+c)+b+c+b=10000.即 3b+2c=10000. 又已知b=100x,c=100y(x,y几 是自然数),于是有3x+2y=100. 显然3x 是偶数，故x 为偶数 由b>c 可以推出x>y,从而有5x>3x+2y=100,即 5x>100,所以x>20. 又因为x为偶数，所以x≥22. 由此可知y≤17.因此，第三名最多可得1700本.
1006		2010二试		1．（5分）王云在计算325﹣□×5时先算了减法，结果得出1500，那么这道题的正确结果应该是　   　．	200	【解答】解：325﹣（325﹣1500÷5）×5， ＝325﹣25×5， ＝200． 故答案为：200
1742				甲、乙、丙、丁四根木棒长短都不相同，两根两根连接起来量，一共量了六次，其中①甲+乙最长；②丙+丁最短；③乙+丙的长居第二位，那么甲、乙、丙、丁四根木棒从长到短的顺序是________。	乙>甲>丙>丁	乙>甲>丙>丁 【分析】根据题干“甲+乙最长”可知：甲和乙较长，即甲最长或是乙最长；由“丙+丁最短”可知：丙和丁较短，即丙最短或是丁最短，又因为：乙和丙的长度居第二位，可知：乙比甲长，丙比丁长，由此即可推理得出结论。 解：根据题干分析可得：甲和乙是这四根小棒中较长的两根，丙和丁是较短的两根； 又因为：乙和丙的长度居第二位可得：乙比甲长，丙比丁长， 由上述推理可得：乙>甲>丙>丁
1697				将自然数1到7排成一行，满足：每个数或者大于它前面的所有数，或者小于它前面的所有数，（如：4356271满足条件，从第二位开始，3小于首位的4；5大于前两位的4,3；6大于前三位的4,3,5；2小于前四位的4,3,5,6；7大于前五位的4,3,5,6,2；1小于前六位的4,3,5,6,2,7），则满足条件的排列方法中，7不排在第四个位置的排法共有______种。	60	先考虑第7个数字，若这个数小于前面所有数，则这个数为1，若这个数大于前面所有数，则这个数为7，有2种选择 再考虑第6个数字，若这个数小于前面所有数，则这个数应为此时最小的数，若这个数大于前面所有数，则这个数应为此时最大的数，有2种选择 以此类推，第5、4、3、2个数均有2种选择 第1个数只有1种选择 所以共有2^6=64种排法 考虑其中7排在第4位的情况 由于7排在第4位 所以第7个数字只能小于前面所有数，所以第7个数为1 同理，第6个数字也只能小于前面所有数，所以第6个数为2；第5个数字也只能小于前面所有数，所以第5个数为3 接下来第3、2个数字可以自由选择，各有2种选择 所以7排在第4位的情况有2^2=4种 所以7不排在第4位的排法有60种。  
1330	五年级			三个自然数，最大的比最小的大6，另一个是它们的平均数，且三数的乘积是46332，最 大的数是　   　．	39	解：根据题干分析可得：46332＝2×2×3×3×3×3×11×13＝（2×2×3×3）×（3×11）×（3×13）＝36×33×39， 恰好满足最大的比最小的大6：39﹣33＝6； 且（39+33）÷2＝36， 所以这三个数分别是33、36、39， 故最大的数是39． 故答案为：39．
1107				15．（6分）一辆汽车和一辆卡车分别从A、B两地同时相向而行，已知汽车的速度是卡车的2倍，汽车在8：30到达途中C地，卡车在当日15：00到达C地，两车到达C地时不停车，继续前行，则两车相遇的时刻是　   　．	10:40:00	【解答】解：由题意分析： 从汽车在8：30到达途中C地开始考虑，二车经过C地的时间差是6个半小时，即6×60+30＝390分钟； 因为二车速度比是2：1，所以在相遇时行的路程比也是2：1，所以行完这段路所用时间比是1：2； 卡车到相遇需要用390÷3＝130分钟，所以相遇时刻应该是8：30再加是130分钟，即在10：40分相遇． 故答案为：10：40．
1494				从1至16共16个整数中，至少取　　个数，才能确保有两个数，其中一个是另一个的2倍．	12	解：根据最不利原则，从小到大依次取出来1、3、4、5、7、9、11、12、13、15、16，已经取了11个数了， 那么再取一个数就能满足，即至少取11+1＝12（个）； 答：至少取12个数，才能确保有两个数，其中一个是另一个的2倍； 故答案为：12．
644				张阿姨和李阿姨每月的工资相同，张阿姨每月把工资的30%存入银行，其余的钱用于 日常开支，李阿姨每月的日常开支比张阿姨多10%，余下的钱也存入银行，这样过了 一年，李阿姨发现，她12个月存入银行的总额比张阿姨少了5880元，则李阿姨的月工 资是___________元．	7000	李阿姨每月少存5880÷12=490元，所以张阿姨每月的日常开支为490÷10%=4900元，张（李）阿姨每月的工资是4900÷(1-30%)=7000元。
745	五年级	第十三讲	牛吃草问题	某个售票处，在卖票之前，就已经有人排队.到开始卖票时，已经排了75人.卖票后，由 于每分钟来买票的人数一样多，因此，一个窗口花15分钟才不再有人排队.如果开两个窗口，则 经过5分钟不再有人排队.如果开三个窗口，则经过几分钟不再有人排队?	3分钟	设每个窗口每分钟买票的人数为1份，则15-5=10(分钟)内前来检票的人数为： 1×15-2×5=5(份),所以每分钟前来检票的人数为：5÷10=0.5(份);开始检票前等待的人 数为：(1-0.5)×15=7.5(份).要开3个窗口，经过7.5÷(3-0.5)=3(分钟)就不再有人排队.
399	四年级	第十三讲	追及问题	 亮亮骑着自行车，以每分钟400米的速度，从46路汽车的始发站出发，沿46路车的线 路前进.当他骑出1400米时， 一辆46路车从始发站出发.已知这辆车每分钟行600米， 每4分钟到达一站并停车1分钟.那么汽车开出 几分钟后能追上亮亮.	13	以5分钟为1个周期：在这段时间内，亮亮骑了400×5=2000(米),46路车行驶了 600×4=2400(米),两者的距离减少了400米. 那么两个周期后，两者的距离是1400-400×2=600(米),600÷(600-400)=3(分钟),所 以，在第三个周期内，汽车追上了亮亮，共用时5×2+3=13(分钟).
362	四年级	第十一讲	基本行程	 汉江是长江的支流，汉江水的水速为每小时3千米，长江水的水速为每小时4千米.一 条船沿汉江顺水航行两小时，行了56千米到达长江，在长江还要逆水航行147千米.这 条船还要行几小时.	7	这条船在汉江的顺行速度为56÷2=28(千米/小时),静水中的船速为28-3= 25(千米/小时),那么在长江的逆行速度是25-4=21(千米/小时),需要147÷21=7(小时).
1348	四年级			鸡与兔共有100只，共有脚260只，鸡与兔各有多少只？	鸡有70只，兔有30只．	解：假设全是兔， 鸡：（4×100﹣260）÷（4﹣2） ＝140÷2 ＝70（只） 兔：100﹣70＝30（只） 答：鸡有70只，兔有30只．
454	四年级	第二十二讲	数字最值	有20张卡片，每张上写一个大于0的自然数 ·且任意9张上写的自然数的和都不大于 63.若称写有大于7的自然数的卡片为“龙卡”,问所有“龙卡”上写的自然数的和的最大值是多少?	61	“龙卡数字”大于7.最小为8,若有8张.则和大于63,所以不可能有8张；若有7 张，则可令余下的13张均写1,而7张龙卡和为63-2=61,可以5张写9,2张写8,此时最大的 9张和为63,满足题目要求.所以所有“龙卡”上写的自然数的和最大为61.
1633				将数码1，2，3，4，5，6，7，8，9，按某种次序写成一个九位数abcdefghi。如果A=abc+bcd+cde+def+efg+fgh+ghi，求A的最大可能的值。	4648	数论，位值原理；极值问题。 A=abc+bcd+cde+def+efg+fgh+ghi =a×100+b×110+(c+d+e+f+g)×111+h×11+i×1； 1 1； 要使A尽可能的大； 则从大到小依次考虑(c,d,e,f,g)，b，a，h，i； 当(c,d,e,f,g)=(9,8,7,6,5)，b=4，a=3，h=2，i=1时， A最大，为(9+8+7+6+5)×111+4×110+3×100+2×11+1×1=4648。
440	四年级	第二十一讲	应用最值	DVD播放器的显示屏上，□□:□口到□□:□口是电子显示播放时间.可以从 00:01到24:00.要求填入8个方框的数字全不相同，那么,播放器显示的最短时间是几分钟.	36	设播放器开始播放时刻为AB:CD.    结束播放时刻为EF:GH,      首先让EF  比AB  稍大一些，因此AB=19,EF=20,      然后让CD 最大，GH 最小，因此CD=58,GH=34,        这样播放 时间为36分钟.
850	五年级	第二十五讲	因数与倍数	 称一个两头(首位与末尾)都是1的数为“两头蛇数”.一个四位数的“两头蛇数”去掉两 头，得到一个两位数，它恰好是这个“两头蛇数”的因数.这个“两头蛇数”是         . (写出所有 可能)	1111， 1131， 1771， 1910	去掉头尾后的两位数必为1001的因数.1001的两位数的因数有11、13、77、91,所 有可能的数为1111,1131,1771,1911.
1300	四年级			4名工人3小时可以生产零件108个，现在要在8小时内生产504个零件，需增加工人　   　名．	3	解：504÷8÷（108÷3÷4）﹣4， ＝504÷8÷9﹣4， ＝63÷9﹣4， ＝7﹣4， ＝3（名）， 答：需增加3名， 故应填：3．
681				计算：8-(7.14×1/3-2 2/9÷2.5)+0.1=_.	6.62	原式=8-(2.38-20/9×2/5)+1/9=8-2.38+8/9+1/9=9-2.38=6.62.
351	四年级	第十讲	应用题综合二	 芳子参加数学、语文、自然、英语4科考试，她得的分数都是整数，也没有得0分的科目. 各科的满分成绩都是100分. 芳子的成绩是： 数学和自然的分数之和是语文和英语分数之和的4倍； 数学和英语的分数之和是语文和自然分数之和的3倍； 数学和语文的分数之和是英语和自然分数之和的2倍. 芳子4科的总成绩是多少分? 	120	显然分数从高到低依次为数学、自然、英语、语文，设其分数依次为a、b、c、d. 则a+b+c+d=5(c+d)=4(b+d)=3(b+c),         所以a+b+c+d    是3,4,5的公倍数，也就 是60的倍数，设a+b+c+d=60x. 则a+b=48x,b+c=20x,          所以a-c=28x.              ① 又因为a +c =45x                                                      ② 根据①和②,a=36.5x.    因 为a>0,    且不超过100的整数， 所以x=2,a=73,a+b+c+d=60x=120.
1178				6．（10分）如果8×（2+1÷x）＝18，则x＝　   　．	4	【解答】解：8×（2+1÷x）＝18                 2+1÷x＝18÷8                 2+1÷x＝2.25                    1÷x＝2.25﹣2                    1÷x＝0.25                        x＝1÷0.25                        x＝4
1332	五年级			一个三位数能同时被4，5，7整除，这样的三位数从小到大的顺序排列，最中间的一个数是　   　．	560	解：因为4，5，7的最小公倍数是4×5×7＝140， 所以这样的三位数就有140，280，420，560，700，840，980， 所以中间的数字就是560． 故答案为：560．
708	五年级	第二讲	四则运算	[(77×78−6)−5679]÷(107+30)×37=	1221	原式=([ 6 00 0 -5 67 9 ]÷10 7+ 3 0}×37 =(321÷107+30}×37
1859	三年级			\text{买 } 2 \ \text{支钢笔和 } 3 \ \text{支圆珠笔共花 } 49 \ \text{元，} \\ \text{用同样这笔钱，可以买同样的钢笔 } 3 \ \text{支和圆珠笔 } 1 \ \text{支，} \\ \text{那么 } 1 \ \text{支钢笔的价格是（\quad\quad）元。}	7	\text{等量代换。由题意得：} \\ 2 \ \text{钢笔} + 3 \ \text{圆珠笔} = 49 \ \text{元} \ (1); \\ 3 \ \text{钢笔} + 1 \ \text{圆珠笔} = 49 \ \text{元} \ (2); \\ \text{所以，} 9 \ \text{钢笔} + 3 \ \text{圆珠笔} = 147 \ \text{元} \ (3); \\ (3) - (1) \ \text{得} \ 7 \ \text{钢笔} = 98 \ \text{元}, \\ \text{所以，} 1 \ \text{钢笔} = 14 \ \text{元}, \ 1 \ \text{圆珠笔} = 7 \ \text{元}.
1329	五年级			自然数1，2，3，…一直写下去，组成一个数123456789101112…，写到某个数的时候，所组成的数刚好第一次被72整除，这个数 是　   　．	36	解：因为72＝8×9，8和9互质，任意9个连续自然数所组成的多位数一定能被9整除， 则9、18、27、36、45、…时，能被9整除． 因为9、18、27、36、45、…本身又都是9的倍数， 所以写到8、17、26、35、44、…时也都能被9整除． 因为678、718、526都不能被8整除，而536能被8整除， 所以这个自然数为36． 答：这个自然数是36．
498				快艇从 A 码头出发，沿河顺流而下，途径 B 码头后继续顺流驶向 C 码头，到达 C 码头 后立即反向驶回到 B 码头，共用 10 小时．若 A、B 相距 20 千米，快艇在静水中航行的速度 是 40 千米/时，河水的流速是 10 千米/时，求 B 、C 间的距离 .	180	【分析】 设 B、C 顺流用时x 小时，则逆流时间为(9.6 一 x) 小时．列方程得： (40 + 10)x = (9.6 一 x) × (40 一10) ，解得： x = 3.6 . B、C 距离： 50 × 3.6 = 180 （千米）
1019		2011一试		1．（6分）计算：（7777+8888）÷5﹣（888﹣777）×3＝　   　．	3000	【解答】解：（1111×7+1111×8）÷5﹣（111×8﹣111×7）×3， ＝1111×（7+8）÷5﹣111×（8﹣7）×3， ＝1111×（15÷5）﹣111×1×3， ＝1111×3﹣111×3， ＝（1111﹣111）×3， ＝1000×3， ＝3000． 故答案为：3000．
533	四年级	第15届	新定义	将一个周角平均分成6000份，其中的一份作为角的度量单位，则可以得到一种新的度量角的单位：密位。显然，360°=6000密位，那么45°=____密位，1050密位=____。	1. 750 2. 63	45°=6000÷360°×45°=750密位；1050密位：1050÷(6000÷360°)=63°。
298	四年级	第七讲	乘法原理	有红黄蓝三种颜色的上衣和裤子.同学们任意选择一种颜色的上衣和裤子穿. 问：至少要几名学生，才能保证有两人穿的上衣和裤子的颜色都相同.	10	②利用抽屉原理，9+1=10(个),当有10个人时，就可以保证一定有两个人穿的上衣和裤 子颜色都相同.
1556				计算：124+129+106+141+237﹣500+113＝（　　） A．350 B．360 C．370 D．380	A	解：124+129+106+141+237﹣500+113 ＝（124+106）+（129+141）+（237+113）﹣500 ＝230+270+350﹣500 ＝850﹣500 ＝350 故选：A．
1525				桌面上放有10张卡片，编号分别是1、1、2、2、3、3、4、4、5、5，现在将这10张卡片打乱，并从左至右排成一排，然后数出夹在两个1之间的卡片数、两个2之间的卡片数、两个3之间的卡片数、两个4之间的卡片数和两个5之间的卡片数，这5个数总和的最大值是　　．	20	解：把10张卡片从左至右依次编号为1、2、3、4、5、6、7、8、9、10，而两张卡片之间的卡片数＝这两张牌的编号之差﹣1，问题转化成在这10个编号中选5个数做被减数，另5个做减数．最大是（10+9+8+7+6）﹣（5+4+3+2+1）﹣5＝20． 给出下列排法：3，2，4，5，1，3，2，4，5，1，这里两个1之间有4张卡片，两个2之间有4张卡片，…，两个5之间有4张卡片；5个数总和＝4×5＝20．答案是可以实现的． 故答案为：20
1441				将棱长为1米的正方体木块分割成棱长为1厘米的小正方体积木，设想孙悟空施展神力将所有的小积木一个接一个地叠放起来，成为一根长方体“神棒”，直指蓝天．已知珠穆朗玛峰的海拔高度为8844米，则“神棒”的高度超过珠穆朗玛峰的海拔高度　　米．	1156	解：1立方米＝1000000立方厘米，即1米的正方体木块分割成棱长为1厘米的小正方体积1000000个； 它们相互叠加组成“神棒”的高度＝1000000×0.01＝10000（米）； 即比珠穆朗玛峰的海拔高度高10000﹣8848＝1156（米），故填1156． 故答案为：1156．
1814	五年级			\begin{aligned}   &\text{从 } \frac{1}{2} + \frac{1}{4} + \frac{1}{6} + \frac{1}{8} + \frac{1}{10} + \frac{1}{12} \ \text{中删去两个加数后，} \\ &\text{使余下的四个加数之和恰好等于 1。那么，删去的两个加数分别是 } \underline{\quad} \ \text{和 } \underline{\quad}。   \end{aligned}	1/8;1/10	\begin{aligned}   &\frac{1}{2} + \frac{1}{4} + \frac{1}{6} + \frac{1}{8} + \frac{1}{10} + \frac{1}{12} = \frac{1}{2} + \frac{1}{4} + \left( \frac{1}{6} + \frac{1}{12} \right) + \frac{1}{8} + \frac{1}{10} \\ &= \frac{1}{2} + \frac{1}{4} + \frac{1}{4} + \frac{1}{8} + \frac{1}{10} = 1 + \frac{1}{8} + \frac{1}{10}; \\ &\text{而 } \frac{1}{8} + \frac{1}{10} = \frac{9}{40}; \\ &40 = 2^3 \times 5, \ \text{分母含因数 5 的只有 } \frac{1}{10}, \ \text{故另一个数为 } \frac{1}{8}; \\ &\text{删去剩下的两个加数分别是 } \frac{1}{8} \ \text{和 } \frac{1}{10}.   \end{aligned}
71	六年级	第十一讲	浓度与经济	"如果甲商品价格的25%比乙商品价格的25%多25%;那么,乙的价格比甲的价格少 	 %."	20	方法一：设甲商品的价格为单位1,那么乙商品价格的25%为1×25%÷(1+25%)=1/5，乙商品的价格为1/5÷25%=4/5 ,那么乙的价格比甲的价格少1-4/5=1/5=20% 方法二：甲商品价格的25%:乙商品价格的25%=5:4,所以甲商品价格：乙商品价格= 5:4,因此乙的价格比甲的价格少(5-4)÷5=20%
1515				设 a，b，c，d，e 均是自然数，并且 a＜b＜c＜d＜e，a+2b+3c+4d+5e＝300，则 a+b 的最大值为　　．	35	解：如果 a，b，c，d，e 均是连续的自然数也符合题意， 假设分别是：1、2、3、4、5， 则，a+2b+3c+4d+5e ＝1+2×2+3×3+4×4+5×5 ＝55 如果它们都再加上1，则总和将会增加： 1+2+3+4+5＝15 （300﹣55）÷15＝16…5 余数是5，只能加在e上， 所以，a＝1+16＝17，b＝2+16＝18， 所以，a+b 的最大值为：17+18＝35． 答：a+b 的最大值为35． 故答案为：35．
1358	四年级			教室里有若干学生，他们的平均年龄是8岁．如果加上李老师的年龄，他们的平均年龄就是11岁．已知李老师的年龄是32岁．那么，教室里一共有　   　人．	8	解：（32﹣11）÷（11﹣8）+1 ＝21÷3+1 ＝8（人） 答：教室里一共有 8人． 故答案为：8．
367	四年级	第十一讲	基本行程	 李伯伯每天早晨锻炼身体.他第一天跑步800米，散步200米，共用了14分钟；第二天 跑步400米，散步450米，也用了14分钟.如果李伯伯跑步的速度和散步的速度保持不 变，那么李伯伯散步的速度是每分钟多少米?李伯伯跑步400米要用多少时间? 	50;5	   跑步800米用时+散步200米用时=跑步400米用时+散步450米用时，可以得到 跑步400米用时=散步250米用时，那么第一天跑步800米、散步200米的用时等于散步 800÷400×250+200=700(米)的用时，是14分钟，所以李伯伯散步的速度是每分钟700÷14=50 (米).李伯伯跑步400米用时和散步250米用时相同，为250÷50=5(分钟).
1653				一只猴子采摘了一堆桃子，已知它第一天吃了全部的一半少12个，第二天吃了余下的一半多12个，最后剩下19个桃子，原来这堆桃子共有________个。	19	还原问题。 □→□÷2+12→□÷2-12→19 第二天吃之前有(19+12)×2=62个； 第一天吃之前有(62-12)×2=100个，即原来这堆桃子共有100个。 100→□÷2+12→62→□÷2-12→19
234	六年级	第二讲	四则运算	[(82/112+112/82)-(8/11+11/8)]÷[(1+8/11+11/8)]×(1/8-1/11)2]=       	88	方法一：设x=8/11,则原式=（x2+1/x2-x-1/x)/[(1+x+1/x)×(x-2+1/x)×1/88]                   =（x2+1/x2-x-1/x)/[（x2+1/x2-x-1/x)×1/88] =88. 方法二：设x=8/11+11/8 ,那么x2=82/112+112/82+2 ,所以82/112+112/82=x2-2 而(1/8-1/11)2=1/82+1/112-2/(8×11)=[(8×11)/82+(8×11)/112-2]×(1/88)=(x-2)×(1/88) 这样原式转化为(x2-x-2)/[(1+x)(x-2)×(1/88)]=(x2-x-2)/(x2-x-2)×88=88
1269	四年级			1^3+2^3+3^3+4^3+5^3+6^3+7^3+8^3+9^3＝　   　．	2025	13+23+33+43+53+63+73+83+93 ＝（1+2+3…+9）2 ＝452 ＝2025； 故答案为：2025．
1426				两个数的最大公约数是20，最小公倍数是100，下面说法正确的有（　　）个． （1）两个数的乘积是2000． （2）两个数都扩大10倍，最大公约数扩大100倍． （3）两个数都扩大10倍，最小公倍数扩大10倍． （4）两个数都扩大10倍，两个数乘积扩大100倍． A．1 B．2 C．3 D．4	C	解：根据题意，可知这两个数分别是20和100； （1）20×100＝2000，所以两个数的乘积是2000，所以原说法正确的； （2）两个数都扩大10倍，最大公约数变为20×10＝200，是扩大了10倍，所以原说法错误； （3）两个数都扩大10倍，最小公倍数变为100×10＝1000，是扩大了10倍，所以原说法正确； （4）两个数都扩大10倍，变为200和1000，乘积变为200000，也即两个数乘积扩大100倍，所以原说法正确； 正确的说法有3个． 故选：C．
1872	三年级			\text{桌面上有 } 1, \ 3, \ 5, \ 7, \ 9 \ \text{五种数字卡片，每种卡片各 } 30 \ \text{张，} \\ \text{我们至少从中取出 } (\quad) \ \text{张数字卡片，可以确保取出的卡片上数字之和可以分别为 } 1, \ 2, \ 3, \ldots, \ 200 \ \text{这 } 200 \ \text{种情况。}	26	\text{为使和为 } 1, \ 2, \ \text{至少要取 } 2 \ \text{张；要使和为 } 3, \ \text{此时可以取 } 1 \ \text{张 } 1 \ \text{或 } 3, \ \text{为尽可能少的取卡片，取 } 1 \ \text{张 } 3 \ \text{比较好；} \\ \text{此时和为 } 4, \ 5 \ \text{的情况也已满足。考虑和为 } 6, \ \text{此时可以取 } 1 \ \text{张 } 1 \ \text{或 } 3 \ \text{或 } 5, \ \text{为尽可能少的取卡片，取 } 1 \ \text{张 } 5 \ \text{比较好；} \\ \text{此时和为 } 6, \ 7, \ 8, \ 9, \ 10 \ \text{的情况也已满足。由于此时 } 1 \ \text{到 } 8 \ \text{均已满足，接下来每取 } 1 \ \text{张 } 9 \ \text{可使接下来的连续 } 9 \ \text{个和满足，} \\ \text{即接下来只取 } 9 \ \text{即可。所以只要使最后所有卡片之和达到 } 200 \ \text{或以上即可，} \\ (200 - 10) \div 9 = 21 \cdots 1, \ \text{所以至少需要 } 22 \ \text{张卡片。} \\ \text{所以共取了 } 26 \ \text{张卡片。}
375	四年级	第十二讲	相遇问题	有一条圆形跑道长600米，小明和小林在同一地点同时出发，沿跑道背向而行.小明每 分钟前行90米，小林每分钟前行60米.经过20分钟后，两人相遇了几次 .	3	环形跑道上第n 次相遇，两人所走路程和是n 个全程. 20分钟后，两人共走了(90+60)×20=3000(米),是3000÷600=5个全程，所以两人相遇 了5次 . 
1182				15．2017年3月19日是星期日，据此推算，2017年9月1日是星期　   　．	五	【解答】解：3月19日到3月31日共： 31﹣19＝12（天） 4、6月30天，5、7、8月31天，一共： 30×2+31×3+12+1 ＝60+93+13 ＝166（天） 166÷7＝23（周）…5（天） 所以3月19日是星期日，9月1日是星期五． 答：2017年9月1日是星期五． 故答案为：五．
695				甲、乙两人分别从A B、两地同时出发，相向而行．出发时他们的速度之比是3:2，相 遇后，甲的速度提高20%，乙的速度提高1 3，这样当甲到达B地时，乙离A地还有41千米， 那么A B、两地相距__________千米．	135	相遇前V甲:V乙=3:2，相遇后V甲:V乙=3×5/6:2×4/3=27:20，所以AB两地相距41÷(3/5−2/5×20/27)=135千米.
1821	五年级			\begin{aligned}   &\text{在一次元旦晚会上，9 位学生共演唱 } n \ \text{首“三重唱”歌曲。在演唱中任何两人都曾合作过一次，} \\ &\text{并且仅合作一次。那么 } n = \underline{\quad}。   \end{aligned}	12	\begin{aligned}   &\text{每个人都要和其余 8 人都合作一次，即每人都要唱 } 8 \div 2 = 4 \ \text{次；} \\ &\text{那么一共有 } 4 \times 9 = 36 \ \text{次；} \\ &\text{而每首歌又是三人演唱；} \\ &\text{一共演唱 } 36 \div 3 = 12 \ \text{首；} \\ &\text{即 } n = 12。   \end{aligned}
197	六年级	第八讲	计数综合	将8颗巧克力糖全部分给三位小朋友，可以有人分不到，请问共有多少种不同的分法?	45	插板法进阶，补上3颗巧克力，即转化为每人至少分一颗的分法，C(2,10)=45. 
383	四年级	第十二讲	相遇问题	忠犬小八每天都从家中跑到车站去迎接它的主人，并准时于下午5时到达车站见到它 的主人后立即跑回家，它的主人搭乘的电车通常也都于下午五时准时抵达.但是有一 天，它的主人提早下班，于下午四时就抵达车站，他直接由车站步行回家.在半途中他见 到正从家中朝车站方向跑的小八，两者相遇后，小八立即以与平常相同的速度跑回家. 小八到家时比平常到家时间提早10分钟.请问小八跑步的速度是它主人步行速度的 几倍? 	11	令相遇地点为A 点.因小八到家时比平常到家时间提早10分钟，可知主人走的距 离让小八走仅需5分钟，即小八于4时55分到达A 点，此时主人走了55分钟.同样的距离主人 所花时间是小八的55÷5=11(倍),故小八的速度为主人步行速度的11倍.
746	五年级	第十三讲	牛吃草问题	 李大爷在草地上放养一群牛，草地每天均匀生长，如果他再买进3头牛，则会提前2天将草吃完，如果他卖出3头牛，则会推迟4天才能将草吃完，那么这片草地放养原来那群牛，会用 天将草吃完.	8	设一头牛一天吃一份草.设原有x 头牛，y 天吃完，原有草量a,每天长b. 可得方程：xy=a+by(x+3)(y-2)=a+b(y-2) (x-3)(y+4)=a+b(y+4) 得 y=8.
620	六年级	第11届	简单计算	在一个长20米、宽8米、深1.6米的长方体游泳池的四壁及地面贴磁砖，磁砖是边长为0.2米的正方形，共需磁砖 ____ 块。	6240	地面上横向100块，纵向40块，共4000块；四壁高为8块，共8×(100+40)×2=2240块，所有的瓷砖为6240块。
577	二年级	第12届	找规律	找规律填数: (1) 1, 2, 4, 7, 11, ___, 22.(2) 1, 2, 4, 4, 7, 6, 10, 8, ____________________	16；13，10	从2到11, 每个数与前面的差分别是1、2、3、4, 故括号内的数为a, 且 a-11=5, 所以括号内填16。观察可知，奇数项1、4、7、10是一个前后两项差3的等差数列，故第一个括号内应该填13；偶数项2、4、6、8是一个前后两项差2的等差数列，故第二个括号内应该填10。
1042				12．（5分）A、B、C、D四人带着一个手电筒，要通过一个黑暗的只容2人走的隧道，每次先让2人带着手电筒通过，再由一人送回手电筒，又由2人带着手电筒通过…，若A、B、C、D四人单独通过隧道分别需要3、4、5、6分钟，则他们4人都通过至少需要　   　分钟．	21	【解答】解：分两种情况讨论： 第一种：A和B过，A回，4+3＝7（分钟） C和D过，B回，6+4＝10（分钟） A和B过，4（分钟） 共用7+10+4＝21（分钟）；  第二种：A和B过，A回，4+3＝7（分钟） A和C过，A回，5+3＝8（分钟） A和D过，6（分钟） 共用7+8+6＝21分钟．  所以，至少需要21分钟； 故答案为21．
325	四年级	第九讲	应用题综合一	柯南家2008年一年用电10200千瓦时，上半年的月平均用电比下半年的月平均用电少 100千瓦时.柯南家下半年月平均用电为几千瓦时.	900	柯 南 家 上 半 年 的 总 用 电 比 下 半 年 少 6 0 0 千 瓦 时 ， 那 么 下 半 年 用 电 (10200+600)÷2=5400(千瓦时),下半年月平均用电为5400÷6=900(千瓦时).
907				一队猎手一队狗，两队并着一起走。数头一共一百六，数脚一共三百九。则有______名猎手，______只狗。	125；35	假设有160只狗，则一共有脚160×4=640(只)，实际有脚390只，所以猎手有(640-390)÷(4-2)=125(名)，狗有160-125=35(只)。
1557				甲、乙、丙、丁四支足球队进行比赛．懒羊羊说：甲第一，丁第四；  喜羊羊说：丁第二，丙第三；  沸羊羊说：丙第二，乙第一．每个的预测都只对了一半，那么，实际的第一名至第四名的球队依次是（　　） A．甲乙丁丙 B．甲丁乙丙 C．乙甲丙丁 D．丙甲乙丁	C	解：根据分析，假设懒羊羊说的第一句是对的，即甲是第一，则沸羊羊说的乙是第一是错的， 则丙是第二是对的，就可以推测出喜羊羊说的丙第三是错的，则喜羊羊说的丁第二是对的， 与丙第二矛盾，故假设不成立，故懒羊羊说的甲第一是错的，丁第四是对的； 由此可以推测乙是第一，丙是第三，则甲是第二． 故排名是：乙甲丙丁． 故选：C．
1597				一个两位数，其数字和是它的约数，数字差（较大数减去较小数）也是它的约数，这样的两位数的个数共有　　个．	19	解：枚举法： （1）尾数为0的有：10，20，30，40，50，60，70，80，90． （2）尾数不为0 的有：12，21，24，36，42，45，48，54，63，84． 故答案为：19
679				一批饲料可供10只鸭子和15只鸡共吃6天，或供12只鸭子和6只鸡共吃7天．则这批饲料 可供__________只鸭子吃21天．	5	设一只鸭子一天吃x，一只鸡一天吃y，则60x＋90y＝84x＋42y，得到x＝2y，总共有 饲料60x＋45x＝105x，可供21只鸭子吃105÷21＝5天．
